term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
search,-0.007653906699770541,0.006969381795065711,-0.03749144268475504,-0.025693005640558614,-0.007326668384553804,0.0013695464687286409,0.0078106213818463065,-0.0336825861025747,-0.012864422736233885,0.0025879038234849485
creature,0.0043983188393964525,0.011264099859607595,0.015783028931023655,0.025749573922248022,-0.007717835968032824,0.04773493308700801,0.012037818477429674,-0.029466722295009733,-0.013322977134980792,0.023641847467172072
theirs,-0.014410236909742058,0.024929258163412675,0.016618533403758316,-0.021091269955043578,-0.009667052146610344,0.00615999137107608,0.0244195992679891,-0.027633682167264872,0.006274282879184953,-0.024364025890541634
familiar,0.020129248379405516,-0.007366024655581581,0.008979792434125035,-0.005468621181384963,-0.00940676847130516,-0.00716726304389238,-0.009543030353727928,0.015184703382526645,0.008115029926066986,0.0006275410358808869
goodness,0.00018981582348919532,0.006374269333653186,0.0050940090607879875,-0.004164251261922085,-0.02273435605345814,0.008629020087298076,0.021565441400326787,-0.006700779934969412,-0.009381424184653228,-0.008757448915305688
spring,0.002386756618122384,-0.010011000929842322,0.00040986140648989656,-0.007229089682703833,-0.019034807761059272,0.023474888226650226,0.008703930895706105,-0.018881895701936588,-0.006487896385337857,-0.001064095152848438
external,0.07940188399714003,-0.050038582046009736,0.04836416949755162,0.032997809772150666,-0.01614978566738388,-0.04508111204895074,-0.03768146488525968,-0.030281727804596217,-0.022779316386578926,0.008283391392067062
opportunity,-0.011441336852871338,0.0011781213936742391,-0.0024454327289526964,0.008266982929670293,-0.01597775379594538,0.0038757552915730568,0.005996024918746346,0.010930748659245836,0.005170927655969935,-0.014391953026600469
foot,-0.02813694998833459,-0.022324410948505506,-0.013567410480669215,0.017682763876825717,-0.018060616941015222,-0.007678221590515933,-0.009249274988778608,0.0030773792957452155,0.0028571456245871756,0.00538991081924408
forbid,-0.01968670193919527,0.003029606295853918,0.00013445548212318462,-0.01785894681218009,-0.000973316485652333,-0.004818546344502355,0.0035779111231756763,-0.01675092895090189,-0.022213716621712343,-0.017064972021599588
imitation,0.004005656099471469,-0.0005155159133251125,-0.08168579123713891,-0.032179120785360234,-0.13568269012153023,0.05403200450718076,-0.15773290342874646,-0.01333289656615076,-0.082971856291095,0.01560217786875786
