book_id,chap_id,term_str,n,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
1497,8,expel,1,0.0003734647462706,VB,0.0003734647462706,0.0,0.0003734647462706,0.0003734647462706,0.0,0.0003734647462706,0.0,0.0,-0.0003734647462706
1497,8,extinguish,1,0.0003367552557984,VB,0.0003367552557984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003367552557984
1497,8,fear,7,0.0001953398885631,NN,0.0001953398885631,0.0,0.0,0.0001953398885631,0.0,0.0,0.0,0.0,-0.0001953398885631
1497,8,fell,1,0.0001313839401353,VBD,0.0,0.0,0.0,0.0,0.0,0.0001313839401353,0.0,0.0,-0.0001313839401353
1497,8,fellow,4,0.000318579277003,JJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000318579277003,0.000318579277003
1497,8,fierce,3,0.0009248434885468,NN,0.0009248434885468,0.0,0.0009248434885468,0.0009248434885468,0.0,0.0,0.0,0.0,-0.0009248434885468
1497,8,fight,1,8.84486113568017e-05,VB,8.84486113568017e-05,0.0,0.0,8.84486113568017e-05,0.0,0.0,0.0,0.0,-8.84486113568017e-05
1497,8,finally,1,0.0002198325514921,RB,0.0,0.0002198325514921,0.0002198325514921,0.0,0.0002198325514921,0.0,0.0002198325514921,0.0002198325514921,0.0002198325514921
1497,8,flee,1,0.0004252038671552,VB,0.0,0.0,0.0,0.0004252038671552,0.0,0.0,0.0,0.0,-0.0004252038671552
1497,8,flying,1,0.0002483066444416,VBG,0.0,0.0,0.0,0.0002483066444416,0.0,0.0,0.0,0.0,0.0002483066444416
1497,8,fondness,1,0.0003734647462706,NN,0.0,0.0,0.0,0.0,0.0003734647462706,0.0,0.0,0.0,0.0003734647462706
1497,8,food,2,0.0001057671247883,NN,0.0,0.0,0.0,0.0,0.0001057671247883,0.0,0.0,0.0001057671247883,0.0001057671247883
1497,8,force,4,0.0002699312940736,NN,0.0002699312940736,0.0,0.0,0.0002699312940736,0.0,0.0,0.0,0.0,-0.0002699312940736
1497,8,forced,1,0.000196567523557,VBN,0.0,0.0,0.0,0.000196567523557,0.0,0.0,0.0,0.0,-0.000196567523557
