term_str,n,p,i,n_chars,cat_pos,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,n_pos,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,df,idf,dfidf
legislator,210,0.0002842443364315,11.78058077584424,10,"{'VBZ', 'IN', 'NN', 'JJ'}",NN,0,legisl,legisl,legisl,4,0.0014475618927258522,0.02750367596179119,0.0013465104445668807,0.0050038556740538845,19,1.5594274086140185,29.62912076366635
menexenus,48,6.497013404150779e-05,13.909863792789208,9,{'NNP'},NNP,0,menexenu,menexenus,menexen,1,0.008585876268290044,0.02575762880487013,0.01148887794225198,0.01411527629074637,3,4.222392421336448,12.667177264009343
erasistratus,28,3.789924485754621e-05,14.68747137145276,12,"{'NNP', 'NN'}",NNP,0,erasistratu,erasistratus,erasistrat,2,0.025339868757614604,0.025339868757614604,0.025339868757614604,0.025339868757614604,1,5.807354922057604,5.807354922057604
greek,87,0.0001177583679502,13.051882797661635,5,"{'IN', 'CD', 'NNP', 'NN', 'VBP', 'NNS', 'VB', 'JJ'}",NNP,0,greek,greek,greek,8,0.001672890252777282,0.025093353791659227,0.0004132342523263939,0.006831288017430215,15,1.9004643264490857,28.506964896736285
motion,337,0.0004561444827497,11.098221512328506,6,"{'NNP', 'NN', 'VBZ', 'VB', 'NNS', 'VBN', 'RB', 'JJ'}",NN,0,motion,motion,mot,8,0.0008606988701839166,0.024960267235333584,0.0003272433717713067,0.004731813863267037,29,0.9493739269300321,27.531843880970932
do,3149,0.0042623115020147,7.874148251374954,2,"{'MD', 'IN', 'CC', 'CD', 'NNP', 'NN', 'POS', 'VBP', 'VBZ', 'VB', 'JJ'}",VBP,1,do,do,do,11,0.000466424576639121,0.024254077985234292,0.00040702705298656275,0.0010322299672593054,52,0.10691520391651188,5.559590603658618
triangles,65,8.798038984787514e-05,13.472458480481908,9,"{'IN', 'NN', 'VBP', 'VBZ', 'NNS'}",NNS,0,triangl,triangl,triangl,5,0.004838774124155823,0.02419387062077912,0.0035495726762481547,0.010022794614436352,5,3.4854268271702415,17.427134135851208
dionysodorus,66,8.933393430707322e-05,13.45043217415191,12,{'NNP'},NNP,0,dionysodoru,dionysodorus,dionysodor,1,0.02413332230549061,0.02413332230549061,0.02413332230549061,0.02413332230549061,1,5.807354922057604,5.807354922057604
universe,115,0.0001556576128077,12.649336242565989,8,"{'NN', 'JJ'}",NN,0,univers,univers,univers,2,0.0011940796090818058,0.022687512572554313,0.000462248226140086,0.005008867479488282,19,1.5594274086140185,29.62912076366635
fire,282,0.0003816995374938,11.35527494111157,4,"{'NNP', 'NN', 'VBP', 'VBD', 'VBZ', 'VB', 'NNS', 'VBN', 'RB', 'JJ', 'VBG'}",NN,0,fire,fire,fir,11,0.0007678353993965174,0.022267226582499012,0.00017556614460102304,0.0064495511340355435,29,0.9493739269300321,27.531843880970932
lysis,35,4.7374056071932766e-05,14.365543276565395,5,"{'VB', 'NNP', 'NN'}",NNP,0,lysi,lysi,lys,3,0.022122052924686126,0.022122052924686126,0.022122052924686126,0.022122052924686126,1,5.807354922057604,5.807354922057604
cratylus,125,0.0001691930573997,12.529042008848275,8,"{'VB', 'NNP', 'NN', 'JJ'}",NNP,0,cratylu,cratylus,cratyl,4,0.007339140543777259,0.022017421631331774,0.00018192909739051435,0.021701248028764126,3,4.222392421336448,12.667177264009343
laws,438,0.0005928524731287,10.72003923390919,4,"{'CC', 'CD', 'NNP', 'NN', 'VBP', 'NNS', 'VB', 'JJ', 'JJR'}",NNS,0,law,law,law,9,0.0005609240995591352,0.021876039882806265,0.00039435174553345824,0.0022803459697990514,39,0.5219527031953558,20.356155424618876
earth,392,0.0005305894280056,10.880116449395157,5,"{'IN', 'NNP', 'NN', 'VBZ', 'VB', 'FW', 'RB', 'VBN', 'JJ'}",NN,0,earth,earth,ear,9,0.0005837534060756128,0.02159887602479767,0.00020910301467952813,0.007314608982135782,37,0.5979015564286544,22.12235758786021
me,1882,0.0025473706722107,8.616775380781826,2,"{'JJS', 'NNP', 'VBP', 'VBZ', 'RB', 'VBN', 'JJ', 'JJR', 'MD', 'POS', 'NN', 'FW', 'PRP', 'VBD', 'VB', 'NNS', 'RP', 'IN', 'RBS', 'RBR', 'VBG'}",PRP,1,me,me,me,21,0.00042941966312119907,0.021470983156059952,0.0003186706719370076,0.0017634465162043305,50,0.16349873228287956,8.174936614143977
particles,69,9.339456768466746e-05,13.386301836732194,9,"{'NNS', 'NN', 'JJ', 'VBZ'}",NNS,0,particl,particl,partic,4,0.0021467127777965033,0.02146712777796504,0.0012162622625959657,0.009658394406101974,10,2.4854268271702415,24.854268271702416
science,233,0.0003153758589931,11.630640148856084,7,"{'NN', 'VBD', 'VB', 'VBN', 'JJ', 'VBG'}",NN,0,scienc,scienc,sci,6,0.0008803791046434172,0.021129098511442016,0.00025292795554740256,0.007504920912391216,24,1.222392421336448,29.337418112074754
ctesippus,70,9.474811214386552e-05,13.365543276565395,9,{'NNP'},NNP,0,ctesippu,ctesippus,ctesipp,1,0.007005288285990609,0.021015864857971828,0.00597421652997103,0.014888173756129018,3,4.222392421336448,12.667177264009343
axis,16,2.1656711347169263e-05,15.494826293510362,4,{'NN'},NN,0,axi,axi,ax,1,0.005099337821398578,0.02039735128559431,0.0006644488135415086,0.018976395171107222,4,3.807354922057604,15.229419688230417
modern,45,6.090950066391356e-05,14.002973197180689,6,"{'VB', 'NN', 'NNS', 'JJ'}",JJ,0,modern,modern,modern,4,0.002035233850726694,0.02035233850726694,0.0009837461368681702,0.009040263855646501,10,2.4854268271702415,24.854268271702416
flesh,97,0.0001312938125422,12.894913451323236,5,"{'NNS', 'NN', 'VB', 'JJ'}",NN,0,flesh,flesh,flesh,4,0.001323038240468346,0.019845573607025196,0.0001757248568145248,0.005164305234915994,15,1.9004643264490857,28.506964896736285
rotation,11,1.488898905117887e-05,16.035394674873068,8,"{'NNP', 'NN'}",NN,0,rotat,rotat,rot,2,0.009918275281559034,0.019836550563118067,0.009918275281559034,0.01960407535048411,2,4.807354922057604,9.614709844115207
anytus,51,6.903076741910203e-05,13.822400951538867,6,"{'NNP', 'VBP'}",NNP,0,anytu,anytus,anyt,2,0.009849885396309937,0.019699770792619874,0.009849885396309937,0.014219622249411453,2,4.807354922057604,9.614709844115207
art,877,0.0011870584907167,9.71839326106563,3,"{'IN', 'NNP', 'NN', 'VBP', 'VBD', 'VBZ', 'NNS', 'VB', 'VBN', 'RB', 'JJ', 'RP'}",NN,0,art,art,art,12,0.0004250962112758468,0.0191293295074131,0.00021064885194692134,0.0029862061929048756,45,0.3155018257279294,14.197582157756823
marrow,42,5.684886728631932e-05,14.102508870731604,6,"{'NNS', 'NNP', 'NN'}",NN,0,marrow,marrow,marrow,3,0.0038124234347958045,0.019062117173979022,0.004310195392587045,0.004735634276046524,5,3.4854268271702415,17.427134135851208
theodorus,159,0.0002152135690124,12.181943338226008,9,"{'IN', 'NNP', 'NN', 'VBP', 'VBD', 'VB', 'VBN', 'RB', 'TO'}",NNP,0,theodoru,theodorus,theodor,9,0.0037937282025528353,0.018968641012764176,0.0011807501425941957,0.015403119860638527,5,3.4854268271702415,17.427134135851208
guardians,192,0.000259880536166,11.909863792789208,9,"{'NNPS', 'NN', 'VBZ', 'NNS', 'JJ'}",NNS,0,guardian,guardian,guard,5,0.000822993106095717,0.018928841440201495,0.0003781979572840157,0.0029566388194105105,23,1.2837929660005913,29.5272382180136
tongue,42,5.684886728631932e-05,14.102508870731604,6,{'NN'},NN,0,tongu,tongu,tongu,1,0.001570641135243615,0.018847693622923378,0.00040403210369624665,0.014393733298811192,12,2.222392421336448,26.66870905603738
immobility,7,9.474811214386553e-06,16.68747137145276,10,{'NN'},NN,0,immobl,immobl,immobl,1,0.018419340486816142,0.018419340486816142,0.018419340486816142,0.018419340486816142,1,5.807354922057604,5.807354922057604
