book_id,chap_id,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
1571,1,3.993610296889569e-05,3.993610223644887e-05,3.993610298732518e-05,3.99361028266308e-05,3.9936103117754846e-05,3.993610278733281e-05,3.993610223644887e-05,3.993610288480837e-05,3.993610285778809e-05,3.9936102842312735e-05,3.9936103112916146e-05,3.993610223644887e-05,3.993610316087303e-05,3.9936103292265175e-05,0.052264337302767166,3.993610309272849e-05,3.993610223644887e-05,0.05842542469070445,0.8886313242594145,3.993610223644887e-05
1572,1,1.8057060614327028e-05,1.805706031059014e-05,1.8057060671139272e-05,1.8057060660943083e-05,1.8057060655491006e-05,1.8057060524248028e-05,1.805706031059014e-05,1.8057060615687085e-05,1.8057060597769343e-05,1.8057060598997872e-05,1.8057060633635462e-05,1.805706031059014e-05,1.8057060672686906e-05,0.9996569158498095,1.8057060576472895e-05,1.8057060584396054e-05,1.805706031059014e-05,1.8057060604817717e-05,1.80570606268385e-05,1.805706031059014e-05
1572,2,6.468305378734772e-05,6.468305304011274e-05,6.468305383621895e-05,6.468305385086602e-05,6.468305375718992e-05,0.9987710219816814,6.468305304011274e-05,6.46830537744448e-05,6.468305353207138e-05,6.468305373904253e-05,6.468305384333001e-05,6.468305304011274e-05,6.468305378688366e-05,6.468305421454575e-05,6.468305352265009e-05,6.468305378711406e-05,6.468305304011274e-05,6.468305372667078e-05,6.46830539596456e-05,6.468305304011274e-05
1572,3,4.873294412738487e-05,4.873294346982814e-05,4.8732944614401185e-05,0.026539173754119863,4.873294441468075e-05,0.03947378800441429,4.873294346982814e-05,4.873294423180424e-05,4.8732943982280676e-05,4.873294406277308e-05,4.873294437457036e-05,4.873294346982814e-05,0.12604451735793215,0.7987329836644802,4.873294390502898e-05,4.8732944238842565e-05,4.873294346982814e-05,4.873294421508991e-05,0.008478543059537562,4.873294346982814e-05
1572,4,0.00011764706026214688,0.00011764705882358335,0.0001176470608169273,0.00011764706133013184,0.00011764706033627042,0.00011764706114765361,0.00011764705882358335,0.00011764706056132731,0.00011764705982960077,0.00011764706007137369,0.00011764706082390709,0.00011764705882358335,0.00011764706041419858,0.9977647058533358,0.0001176470596218363,0.00011764706026182654,0.00011764705882358335,0.00011764706003846002,0.00011764706703076801,0.00011764705882358335
1572,5,0.00022321428875009337,0.0002232142857144371,0.46833894895311695,0.00022321429029968878,0.00022321429038077512,0.00022321428957677568,0.0002232142857144371,0.00022321428943948386,0.00022321428790052786,0.00022321429110715418,0.0002232142898016765,0.0002232142857144371,0.0002232142890900629,0.5276431938536565,0.00022321428954493244,0.0002232142903343102,0.0002232142857144371,0.00022321428943335576,0.00022321428899530423,0.0002232142857144371
1572,6,0.00016286645121346412,0.0001628664495114659,0.00016286645130803436,0.00016286645136196225,0.00016286645157686247,0.00016286645272252566,0.0001628664495114659,0.00016286645136029875,0.00016286645100632035,0.0001628664516421946,0.00016286645161794105,0.0001628664495114659,0.00016286645093079675,0.9969055374321427,0.00016286645075709743,0.0001628664518118285,0.0001628664495114659,0.00016286645182749893,0.0001628664511630315,0.0001628664495114659
1572,7,0.0003030303073771654,0.00030303030303117153,0.010476283858918752,0.0003030303151123588,0.00030303030898495294,0.0003030303100736099,0.00030303030303117153,0.00030303031123507924,0.008084614220320264,0.0003030303129586274,0.00030303030728577216,0.00030303030303117153,0.000303030308663742,0.819285848836287,0.00030303030561862744,0.00030303031618109745,0.00030303030303117153,0.00030303031090568686,0.15730476815492128,0.00030303030303117153
1572,8,6.78978829797298e-06,6.789788158614108e-06,0.03349201081604261,6.789788317829443e-06,6.789788321863099e-06,6.789788278329182e-06,6.789788158614108e-06,6.789788321527624e-06,6.789788294629347e-06,6.789788318243643e-06,6.789788318189368e-06,6.789788158614108e-06,6.789788325344784e-06,0.9663857729951524,6.789788286793745e-06,6.789788305548195e-06,6.789788158614108e-06,6.789788306454655e-06,6.789788319233198e-06,6.789788158614108e-06
1579,1,3.742515023189732e-05,3.7425149700605876e-05,3.742515030651108e-05,3.742515030514924e-05,3.7425150304954404e-05,3.742515007789361e-05,3.7425149700605876e-05,3.7425150434705425e-05,0.9992889221479846,3.742515028281757e-05,3.742515027589988e-05,3.7425149700605876e-05,3.7425150306730083e-05,3.7425150202154474e-05,3.7425150100895893e-05,3.742515019671957e-05,3.7425149700605876e-05,3.742515019631115e-05,3.742515028986326e-05,3.7425149700605876e-05
1580,1,2.9239766527085785e-05,2.923976608189222e-05,2.923976670280899e-05,2.923976681318853e-05,0.9937072878544153,2.9239766519292438e-05,2.923976608189222e-05,0.005766396348359855,2.923976675793184e-05,2.923976681288293e-05,2.9239766678386632e-05,2.923976608189222e-05,2.9239766750336192e-05,2.923976659460748e-05,2.9239766435320753e-05,2.9239766857317338e-05,2.923976608189222e-05,2.9239766548585203e-05,2.92397668176883e-05,2.923976608189222e-05
1584,1,3.2530904989393715e-05,3.2530904359158376e-05,3.253090492207306e-05,3.253090493813654e-05,3.2530905021250834e-05,3.25309047426266e-05,3.2530904359158376e-05,0.9993819128089472,3.253090491534267e-05,3.2530904967577284e-05,3.2530904964483486e-05,3.2530904359158376e-05,3.253090501937277e-05,3.2530904878597455e-05,3.253090500949417e-05,3.253090496652716e-05,3.2530904359158376e-05,3.253090500632797e-05,3.253090491580311e-05,3.2530904359158376e-05
